model,test_set,domain,accuracy,precision,recall,f1,tp,fp,tn,fn,total
hc3_char_tfidf_logreg,hc3_in_domain,finance,0.9667,1.0000,0.9333,0.9655,14,0,15,1,30
hc3_char_tfidf_logreg,hc3_in_domain,law,0.9667,0.9375,1.0000,0.9677,15,1,14,0,30
hc3_char_tfidf_logreg,hc3_in_domain,medicine,1.0000,1.0000,1.0000,1.0000,15,0,15,0,30
hc3_char_tfidf_logreg,hc3_in_domain,nlpcc_dbqa,0.9333,1.0000,0.8667,0.9286,13,0,15,2,30
hc3_char_tfidf_logreg,hc3_in_domain,open_qa,0.9667,1.0000,0.9333,0.9655,14,0,15,1,30
hc3_char_tfidf_logreg,hc3_in_domain,psychology,1.0000,1.0000,1.0000,1.0000,15,0,15,0,30
hc3_char_tfidf_logreg,deepseek_original,ai_security,0.0000,0.0000,0.0000,0.0000,0,1,0,1,2
hc3_char_tfidf_logreg,deepseek_original,aigc_detection,0.5000,0.0000,0.0000,0.0000,0,0,2,2,4
hc3_char_tfidf_logreg,deepseek_original,algorithm,1.0000,1.0000,1.0000,1.0000,1,0,1,0,2
hc3_char_tfidf_logreg,deepseek_original,data_privacy,1.0000,1.0000,1.0000,1.0000,1,0,1,0,2
hc3_char_tfidf_logreg,deepseek_original,health_consulting,1.0000,1.0000,1.0000,1.0000,1,0,1,0,2
hc3_char_tfidf_logreg,deepseek_original,large_model,1.0000,1.0000,1.0000,1.0000,2,0,2,0,4
hc3_char_tfidf_logreg,deepseek_original,network_engineering,0.5000,0.0000,0.0000,0.0000,0,0,1,1,2
hc3_char_tfidf_logreg,deepseek_original,programming,1.0000,1.0000,1.0000,1.0000,1,0,1,0,2
hc3_char_tfidf_logreg,deepseek_original,research_training,0.5000,0.0000,0.0000,0.0000,0,0,1,1,2
hc3_char_tfidf_logreg,deepseek_original,software_project,0.5000,0.0000,0.0000,0.0000,0,0,1,1,2
hc3_char_tfidf_logreg,deepseek_casual_rewrite,ai_security,0.0000,0.0000,0.0000,0.0000,0,1,0,1,2
hc3_char_tfidf_logreg,deepseek_casual_rewrite,aigc_detection,0.5000,0.0000,0.0000,0.0000,0,0,2,2,4
hc3_char_tfidf_logreg,deepseek_casual_rewrite,algorithm,0.5000,0.0000,0.0000,0.0000,0,0,1,1,2
hc3_char_tfidf_logreg,deepseek_casual_rewrite,data_privacy,0.5000,0.0000,0.0000,0.0000,0,0,1,1,2
hc3_char_tfidf_logreg,deepseek_casual_rewrite,health_consulting,0.5000,0.0000,0.0000,0.0000,0,0,1,1,2
