model,test_set,domain,accuracy,balanced_accuracy,precision,recall,f1,tp,fp,tn,fn,total
hc3_char_tfidf_logreg,hc3_chatgpt,finance,0.9375,0.9375,1.0000,0.8750,0.9333,7,0,8,1,16
hc3_char_tfidf_logreg,hc3_chatgpt,law,0.9375,0.9375,0.8889,1.0000,0.9412,8,1,7,0,16
hc3_char_tfidf_logreg,hc3_chatgpt,medicine,1.0000,1.0000,1.0000,1.0000,1.0000,8,0,8,0,16
hc3_char_tfidf_logreg,hc3_chatgpt,nlpcc_dbqa,0.8750,0.8750,1.0000,0.7500,0.8571,6,0,8,2,16
hc3_char_tfidf_logreg,hc3_chatgpt,open_qa,1.0000,1.0000,1.0000,1.0000,1.0000,8,0,8,0,16
hc3_char_tfidf_logreg,hc3_chatgpt,psychology,0.9375,0.9375,0.8889,1.0000,0.9412,8,1,7,0,16
hc3_char_tfidf_logreg,deepseek_original,finance,0.7500,0.7500,1.0000,0.5000,0.6667,4,0,8,4,16
hc3_char_tfidf_logreg,deepseek_original,law,0.8750,0.8750,0.8750,0.8750,0.8750,7,1,7,1,16
hc3_char_tfidf_logreg,deepseek_original,medicine,0.6250,0.6250,1.0000,0.2500,0.4000,2,0,8,6,16
hc3_char_tfidf_logreg,deepseek_original,nlpcc_dbqa,0.6875,0.6875,1.0000,0.3750,0.5455,3,0,8,5,16
hc3_char_tfidf_logreg,deepseek_original,open_qa,0.7500,0.7500,1.0000,0.5000,0.6667,4,0,8,4,16
hc3_char_tfidf_logreg,deepseek_original,psychology,0.8750,0.8750,0.8750,0.8750,0.8750,7,1,7,1,16
hc3_char_tfidf_logreg,deepseek_casual_rewrite,finance,0.5000,0.5000,0.0000,0.0000,0.0000,0,0,8,8,16
hc3_char_tfidf_logreg,deepseek_casual_rewrite,law,0.5000,0.5000,0.5000,0.1250,0.2000,1,1,7,7,16
hc3_char_tfidf_logreg,deepseek_casual_rewrite,medicine,0.5000,0.5000,0.0000,0.0000,0.0000,0,0,8,8,16
hc3_char_tfidf_logreg,deepseek_casual_rewrite,nlpcc_dbqa,0.5000,0.5000,0.0000,0.0000,0.0000,0,0,8,8,16
hc3_char_tfidf_logreg,deepseek_casual_rewrite,open_qa,0.6250,0.6250,1.0000,0.2500,0.4000,2,0,8,6,16
hc3_char_tfidf_logreg,deepseek_casual_rewrite,psychology,0.4375,0.4375,0.0000,0.0000,0.0000,0,1,7,8,16
hc3_char_tfidf_logreg,deepseek_adversarial_rewrite,finance,0.5000,0.5000,0.0000,0.0000,0.0000,0,0,8,8,16
hc3_char_tfidf_logreg,deepseek_adversarial_rewrite,law,0.4375,0.4375,0.0000,0.0000,0.0000,0,1,7,8,16
hc3_char_tfidf_logreg,deepseek_adversarial_rewrite,medicine,0.5000,0.5000,0.0000,0.0000,0.0000,0,0,8,8,16
hc3_char_tfidf_logreg,deepseek_adversarial_rewrite,nlpcc_dbqa,0.5000,0.5000,0.0000,0.0000,0.0000,0,0,8,8,16
hc3_char_tfidf_logreg,deepseek_adversarial_rewrite,open_qa,0.5000,0.5000,0.0000,0.0000,0.0000,0,0,8,8,16
hc3_char_tfidf_logreg,deepseek_adversarial_rewrite,psychology,0.4375,0.4375,0.0000,0.0000,0.0000,0,1,7,8,16
hc3_mixed_tfidf_logreg,hc3_chatgpt,finance,0.8750,0.8750,0.8000,1.0000,0.8889,8,2,6,0,16
hc3_mixed_tfidf_logreg,hc3_chatgpt,law,0.8750,0.8750,0.8000,1.0000,0.8889,8,2,6,0,16
hc3_mixed_tfidf_logreg,hc3_chatgpt,medicine,1.0000,1.0000,1.0000,1.0000,1.0000,8,0,8,0,16
