sample_id,question_id,split,domain,variant,label,text
q01_human,q01,train,computer_network,human,0,"HTTP 传输时基本是明文，别人如果能抓到包，就可能看到里面的内容。HTTPS 会在 HTTP 外面加一层 TLS，把传输过程加密，还会用证书确认网站身份，所以更不容易被偷看或篡改。简单说，它不只是多了一个 s，而是多了加密和身份校验。"
q01_ai,q01,train,computer_network,ai_original,1,"HTTPS 相比 HTTP 更安全，主要体现在三个方面。首先，HTTPS 使用 TLS/SSL 对通信内容进行加密，可以防止数据在传输过程中被窃听。其次，HTTPS 通过数字证书验证服务器身份，降低中间人攻击风险。最后，HTTPS 能够校验数据完整性，避免内容被篡改。因此，在登录、支付和隐私数据传输场景中，HTTPS 是更合适的选择。"
q01_rewrite,q01,eval_rewrite_train_topics,computer_network,ai_rewrite,1,"我理解 HTTPS 的核心就是把原来裸着传的数据包裹起来。别人就算在路上截到了，也不太容易直接读出账号、密码这些内容。另外证书还能帮浏览器判断对面是不是真的网站，不然就可能被冒充。"
q02_human,q02,train,campus_life,human,0,"刚上大学容易一下子没人管了。我觉得先别把计划排得太满，先把课表、作业和考试节点弄清楚，再固定几个自习时间。社团可以参加，但不要每个都想试。适应节奏这事没那么玄，能按时完成任务就已经很稳了。"
q02_ai,q02,train,campus_life,ai_original,1,"大一新生适应大学学习节奏，可以从学习规划、时间管理和生活调整三个方面入手。首先，应尽快熟悉课程安排和考核方式，避免临近期末才集中复习。其次，要培养自主学习能力，合理安排预习、复习和作业时间。最后，可以适当参加社团和实践活动，但需要平衡学习与生活。通过持续调整，新生能够更快适应大学环境。"
q02_rewrite,q02,eval_rewrite_train_topics,campus_life,ai_rewrite,1,"刚进大学的时候，我会先把每门课怎么考、作业什么时候交弄明白。空出来的时间不用一下子塞满，先保证自己不掉队，再慢慢试社团和比赛。最重要的是别等到期末才发现前面都没听。"
q03_human,q03,train,health_consulting,human,0,"如果只是最近熬夜导致的犯困，先把睡觉时间往前挪一点，不要一下子强行改太多。白天困的时候可以短睡十几分钟，别睡到傍晚。咖啡别太晚喝。要是长期很困或者影响生活，还是去医院看看比较靠谱。"
q03_ai,q03,train,health_consulting,ai_original,1,"经常熬夜后白天犯困，建议从作息、饮食和活动习惯进行调整。首先，应逐步提前入睡时间，建立稳定的睡眠节律。其次，白天可以进行适量运动，并避免午睡时间过长。再次，应减少睡前使用电子设备和摄入咖啡因。如果困倦持续存在或伴随其他不适，应及时寻求专业医生帮助。"
q03_rewrite,q03,eval_rewrite_train_topics,health_consulting,ai_rewrite,1,"这种情况大概率还是作息被打乱了。可以先每天早睡半小时，白天困就眯一小会儿，晚上别再靠咖啡硬撑。如果已经连续很久都这样，或者怎么睡都恢复不过来，就别只靠网上建议了，去看医生更稳。"
q04_human,q04,train,programming,human,0,"Java 后端里很多框架都在用对象、接口、继承这些东西。你如果不懂面向对象，代码能抄着跑，但一到改功能就会懵。理解它不是为了背概念，而是为了知道业务对象怎么拆、代码放哪里、以后怎么维护。"
q04_ai,q04,train,programming,ai_original,1,"学习 Java 后端需要理解面向对象，原因在于后端系统通常具有较复杂的业务结构。面向对象能够通过类、对象、封装、继承和多态等机制组织代码，提高系统的可维护性和扩展性。同时，Spring 等主流 Java 后端框架大量使用接口、依赖注入和对象管理思想。如果缺乏面向对象基础，理解框架设计和编写高质量代码都会更加困难。"
q04_rewrite,q04,eval_rewrite_train_topics,programming,ai_rewrite,1,"后端项目不是只写几个函数就结束，后面经常要改需求。面向对象能帮你把用户、图书、订单这种东西拆成比较清楚的对象。Spring 里面也到处是接口和对象管理，不懂的话看代码会很吃力。"
q05_human,q05,train,science,human,0,"夏天热，地面附近的空气很容易被晒得上升。水汽多的时候，上升到高空就会形成很强的对流云，所以雨可能突然下得很猛。但这种云的范围往往不大，移动或能量消耗后雨也就停了。"
q05_ai,q05,train,science,ai_original,1,"夏天雷阵雨来得快去得也快，主要与强对流天气有关。夏季地表受热明显，近地面暖湿空气迅速上升，在高空冷却凝结形成积雨云。当云体发展到一定强度时，会产生短时间强降水、雷电和大风。但由于这种对流系统空间尺度较小、生命周期较短，所以降雨往往持续时间不长。"
q05_rewrite,q05,eval_rewrite_train_topics,science,ai_rewrite,1,"夏天太阳晒得厉害，地面的热空气带着水汽往上冲，很快就能堆出很高的云。云发展到一定程度就会哗一下下雨，还可能打雷。但它通常只影响一小片地方，过一会儿云散了，雨也就停了。"
q06_human,q06,train,ai_security,human,0,"现在 AI 写的东西越来越像真人，如果完全不检测，作业代写、虚假新闻、刷评论都会更难分辨。当然检测也不能乱用，因为它可能误判。我的理解是，检测不是为了抓人，而是为了给内容来源多一个判断依据。"
q06_ai,q06,train,ai_security,ai_original,1,"检测 AI 生成文本具有重要意义。首先，它有助于维护学术诚信，减少论文、作业等场景中的不当使用。其次，它能够辅助识别网络舆论中的虚假信息和批量生成内容。再次，检测技术可以为内容审核、版权保护和平台治理提供技术支撑。然而，检测结果也需要谨慎使用，避免因模型误判造成不公平影响。"
q06_rewrite,q06,eval_rewrite_train_topics,ai_security,ai_rewrite,1,"AI 现在能写作业、写评论、写新闻稿，如果一点都不查，很多内容来源会变得很模糊。但检测工具也不是法官，它会出错。比较合理的做法是把检测结果当成参考，再结合人工判断。"
q07_human,q07,train,study_method,human,0,"六级听力我会每天练一点，因为短时间突击效果不太稳。阅读可以按题型刷，比如仔细阅读和匹配题分开练。时间分配上，如果听力弱就先多给听力，阅读保持手感。别只背单词，真题还是要做。"
q07_ai,q07,train,study_method,ai_original,1,"准备英语六级时，听力和阅读都需要持续训练。建议前期每天安排固定时间进行听力精听和泛听，熟悉语速、连读和常见题型。阅读方面应重点提升长难句理解、关键词定位和选项辨析能力。若听力基础较弱，可以将更多时间分配给听力；若阅读速度不足，则需要加强限时训练。总体上，应结合真题进行阶段性复盘。"
q07_rewrite,q07,eval_rewrite_train_topics,study_method,ai_rewrite,1,"我会把听力放成每天的小任务，哪怕只听半小时也比考前猛听好。阅读就按真题题型来，先保证能看懂，再练速度。如果你听力比较薄弱，就别平均分时间，先把短板补起来。"
q08_human,q08,train,network_engineering,human,0,"宿舍网慢我会先看是不是所有设备都慢。如果只有电脑慢，就查网卡、DNS、后台下载。大家都慢的话，再看路由器位置、信号强度、宽带本身或者同一时间有人在下载。不要一上来就重装系统。"
q08_ai,q08,train,network_engineering,ai_original,1,"排查宿舍网络变慢，可以按照由近到远的思路进行。首先，确认是单台设备异常还是多个设备都存在问题。其次，检查无线信号强度、路由器位置和连接设备数量。再次，可以测试 DNS、网关延迟和外网连通性，判断问题是否出现在本地网络或运营商链路。最后，排查后台下载、病毒软件和带宽占用等因素。"
q08_rewrite,q08,eval_rewrite_train_topics,network_engineering,ai_rewrite,1,"我会先问室友是不是也卡。如果只有我卡，可能是电脑或者 DNS 的问题；如果大家都卡，就看看路由器、信号和有没有人在占带宽。先用 ping 测一下网关和外网，比直接乱改设置靠谱。"
q09_human,q09,train,medical_ai,human,0,"医疗问答 AI 可以帮人整理信息，但它不知道你的完整检查结果，也不能真的承担诊断责任。有些回答听起来很专业，但可能漏掉关键情况。它适合做初步科普，不适合代替医生给结论。"
q09_ai,q09,train,medical_ai,ai_original,1,"医疗问答 AI 不能直接替代医生，主要原因包括数据不完整、责任边界和安全风险。AI 通常只能根据用户输入生成回答，无法像医生一样结合体检、化验、影像和病史进行综合判断。同时，模型可能产生幻觉或给出不准确建议。如果用户完全依赖 AI 进行诊断和用药，可能延误治疗。因此，医疗 AI 更适合作为辅助咨询工具，而不是最终诊断主体。"
q09_rewrite,q09,eval_rewrite_train_topics,medical_ai,ai_rewrite,1,"AI 可以先帮你把可能的方向讲清楚，但它看不到化验单、影像片，也不了解完整病史。更麻烦的是，它有时候会说得很像真的，却不一定对。所以它适合辅助了解，不能替代医生判断。"
q10_human,q10,train,research_training,human,0,"刚进课题组不要急着说自己要发论文。先把方向里的基本论文和代码看起来，能复现实验就很不错。遇到不懂的问题先自己查，再整理成具体问题问师兄师姐。稳定投入比一开始喊口号重要。"
q10_ai,q10,train,research_training,ai_original,1,"本科生刚进入课题组，可以从文献阅读、代码复现和问题记录三个方面开始科研训练。首先，应了解课题组主要研究方向，阅读相关综述和代表性论文。其次，可以选择一个小规模开源项目进行复现，熟悉数据处理、模型训练和实验评估流程。最后，应保持定期记录和汇报，逐步形成科研问题意识和实验分析能力。"
