sample_id,question_id,dataset,domain,split,variant,label,question,text
hc3_finance_0000_human,hc3_finance_0000,HC3-Chinese,finance,train,human_hc3,0,破产没能力还贷款会怎么样,若是我行贷款，如有消费，请您按时、足额在到期还款日之前还款。首先逾期会生成不良信用记录，影响您的个人信用及以后的信用业务；其次，逾期还款会产生利息及违约金；最后，长期不归还可能会触犯刑法，我行会保留追诉的权利。
hc3_finance_0000_chatgpt,hc3_finance_0000,HC3-Chinese,finance,train,chatgpt_hc3,1,破产没能力还贷款会怎么样,如果您破产并且没有能力偿还贷款，这可能会对您的信用造成严重损害。贷款机构可能会追究您的资产来偿还贷款，并在法院申请执行裁决。这可能会导致您失去房屋、车辆或其他资产。因此，在考虑借贷时，应仔细评估自己的负债能力。如果您发现自己可能无法偿还贷款，应考虑不要借贷或者寻求其他解决方案。如果您已经陷入债务困境，建议您寻求专业的财务咨询师的帮助，以便找到合适的解决方案。
hc3_finance_0001_human,hc3_finance_0001,HC3-Chinese,finance,train,human_hc3,0,20万的车贷款三年总额是多少,您好，贷款是结合贷款放款金额，执行利率、贷款期限、还款方式等各个要素索取数据综合计算结果，单凭借款金额无法计算实际月供金额。若您目前是想试算一下月供及利息部分信息以作参考，请您打开以下连接：http://www.cm####na.com/Cm#########fo/Ca########er.aspx?chnl=dkjsq尝试使用目前贷款的基准利率试算月供。（可查看月供、月供本金、月供利息、本金余额、利息总和及还款总额等信息）。
hc3_finance_0001_chatgpt,hc3_finance_0001,HC3-Chinese,finance,train,chatgpt_hc3,1,20万的车贷款三年总额是多少,如果你打算贷款20万元，并且贷款期限是三年，那么你需要偿还的总金额取决于贷款的利率。贷款利率是指银行或其他金融机构向你放贷时会收取的利息。如果贷款的利率是4%，那么你的贷款总额大约是21.6万元。这是因为你每年需要偿还4%的利息，共偿还12%的利息（4% x 3年 = 12%）。因此，你的贷款总额大约是20万元 + 12%的利息，即21.6万元。你的贷款总额实际上可能会略有不同，因为贷款利率通常是浮动的，并且每月还款额也可能会有所不同。如果你想精确地知道你的贷款总额，最好向银行或其他金融机构咨询，他们可以提供你个性化的贷款方案。
hc3_finance_0002_human,hc3_finance_0002,HC3-Chinese,finance,train,human_hc3,0,解抵之后要好久才能再次办抵押,房产抵押要求:我行接受产权明晰，变现能力较强的商品住房和商业用房作为抵押物。【温馨提示】必须满足以下条件哦:①用于抵押的房产与贷款经办机构必须位于同一城市，个人抵押购房贷款不接受异地抵押物。②不接受评估现值在10万元以下(含)的房产作为抵押物；③已办妥产权证明产权清晰，可上市流通并能依法办理抵押登记，没有产权争议等不利变现情况；④具有较强的变现能力，房产结构完好，水、电、环保交通、城建、物业管理等各项配套设施和服务齐全，不存在纠纷和问题，不在政府规划的拆迁范围内；⑤抵押物为商品住房的，房龄一般不得超过20年，且贷款/授信期限加房龄原则上不得超过40年；抵押物为商业用房的，房龄一般不得超过20年，且贷款/授信期限加房龄原则上不得超过30年。⑥原则上不接受闲置超过6个月的商业用房作为抵押物；具体您的房产是否符合条件，请联系当地网点个贷部门咨询确认。
hc3_finance_0002_chatgpt,hc3_finance_0002,HC3-Chinese,finance,train,chatgpt_hc3,1,解抵之后要好久才能再次办抵押,如果您在解除抵押后想再次办理抵押，那么您可以在解除抵押后立即申请办理抵押。不过，您需要满足相关条件，例如您需要拥有足够的信用记录，并且您的资产（例如房屋）必须满足抵押的要求。您还需要提供相关的文件，例如房屋所有权证明文件和身份证明文件。您可以向当地的银行或金融机构咨询具体的申请流程和要求。在申请办理抵押之前，您应该仔细阅读相关的合同和文件，并确保自己理解所有条款。如果您对办理抵押有疑问，您也可以向当地法律机构或其他专业机构咨询。
hc3_finance_0003_human,hc3_finance_0003,HC3-Chinese,finance,train,human_hc3,0,"汽车贷款怎么计算?#0#00车价,首付3成,两年供",建议和贷款机构详细确认，若在招行办理，可以通过招行计算器尝试计算，详见：招行主页，右侧理财计算器。
hc3_finance_0003_chatgpt,hc3_finance_0003,HC3-Chinese,finance,train,chatgpt_hc3,1,"汽车贷款怎么计算?#0#00车价,首付3成,两年供",要计算汽车贷款，首先需要确定车辆的总价值（即贷款金额），以及您打算支付的首付款金额。您还需要确定贷款期限，也就是在多长时间内还清贷款。根据您提供的信息，您想购买一辆价值20万元的汽车，首付3成，贷款期限为两年。那么您需要贷款的金额就是20万元*(100%-3%)=19.4万元。接下来，您还需要确定贷款的利率。利率是银行或其他金融机构向贷款人收取的费用，通常是以年利率的形式收取。贷款利率通常有两种：固定利率和浮动利率。固定利率是在贷款期间不变的利率，而浮动利率则会随市场变化而变化。假设您获得了一笔固定利率为5%的贷款，那么您每月需要偿还的金额就是：月偿还额 =（贷款金额*月利率）/（1-（1+月利率）^-贷款期限）月利率=年利率/12贷款期限=贷款期限（年）*12根据这些公式，您每月需
hc3_finance_0004_human,hc3_finance_0004,HC3-Chinese,finance,train,human_hc3,0,300万月利息是多少,您好，贷款是结合贷款放款金额，执行利率、贷款期限、还款方式等各个要素索取数据综合计算结果，单凭借款金额无法计算实际月供金额。若您目前是想试算一下月供信息以作参考，请您打开以下连接：尝试使用目前贷款的基准利率试算月供。（可查看月供、月供本金、月供利息、本金余额、利息总和及还款总额等信息）。
hc3_finance_0004_chatgpt,hc3_finance_0004,HC3-Chinese,finance,train,chatgpt_hc3,1,300万月利息是多少,我需要更多的信息才能帮助您。您可以告诉我您的本金是多少，利率是多少，以及您希望计算的期数是多少吗？
