question_id,split_group,domain,question,human_reference
q01,train,computer_network,"为什么 HTTPS 比 HTTP 更安全？","HTTP 传输基本是明文，抓包后可能直接看到内容。HTTPS 多了 TLS 加密和证书校验，能保护传输内容，也能帮助确认网站身份。所以登录、支付这类场景一般都应该用 HTTPS。"
q02,train,campus_life,"大一新生应该怎样适应大学学习节奏？","刚上大学不要一下子把计划排得太满。先弄清楚课表、作业、考试方式和老师要求，再固定几个自习时间。社团和比赛可以慢慢试，但别让自己一开始就乱了节奏。"
q03,train,health_consulting,"经常熬夜后白天犯困，应该怎么调整？","如果只是最近熬夜导致的，可以先每天早睡半小时，慢慢把作息拉回来。白天困的话午睡十几分钟就够，咖啡别太晚喝。要是长期犯困或者影响生活，还是应该去医院看一下。"
q04,train,programming,"学习 Java 后端时为什么要理解面向对象？","Java 后端项目里很多东西都是对象、接口和类之间配合。不了解面向对象，代码可能能抄着跑，但遇到改需求就不知道该改哪里。理解它主要是为了把业务拆清楚，让代码更容易维护。"
q05,train,science,"为什么夏天雷阵雨来得快去得也快？","夏天地面被晒得很热，湿热空气容易快速上升，形成比较强的对流云。云发展起来后可能突然下大雨、打雷。但这种天气系统范围不大，能量释放完或移动走了，雨也就很快停了。"
q06,train,ai_security,"为什么需要检测 AI 生成文本？","AI 写的内容越来越像真人，如果完全不检测，作业代写、虚假评论和批量营销会更难分辨。不过检测结果也不能当成绝对证据，它更适合作为内容来源判断的辅助线索。"
q07,train,study_method,"准备英语六级时，听力和阅读应该怎么分配时间？","如果听力弱，就每天固定听一小段，别只靠考前突击。阅读可以按题型练，先保证看懂，再练速度。时间分配不用平均，应该优先补自己的短板。"
q08,train,network_engineering,"排查宿舍网络很慢时可以从哪些方面入手？","我会先确认是自己电脑慢，还是所有设备都慢。只有一台慢就查网卡、DNS、后台下载；大家都慢就看路由器、信号、带宽占用和运营商线路。先定位范围再动设置会更稳。"
q09,train,medical_ai,"医疗问答 AI 为什么不能直接替代医生？","AI 可以帮人理解一些常识，但它看不到完整病历、检查结果和现场体征。有些回答听起来专业，也可能漏掉关键情况。所以它适合做辅助科普，不能直接替代医生诊断。"
q10,train,research_training,"本科生刚进课题组应该怎样开始做科研训练？","刚开始不用急着说自己要做大成果。先读几篇综述和代表论文，再挑一个小实验复现。遇到问题先自己查，再整理成具体问题问老师或师兄师姐。"
q11,train,software_project,"做图书管理系统时，后端接口设计要注意什么？","接口不要只想着能跑。新增图书要检查字段，借书要判断库存和用户状态，返回格式也要统一。不然后面前端联调、改功能和排查问题都会比较麻烦。"
q12,train,large_model,"为什么大模型回答有时看起来很自信但其实是错的？","大模型更多是在根据上下文生成最可能的文字，不是真的逐条查证事实。它可能把听起来合理的内容拼出来，而且语气很肯定。所以专业问题最好再查原始资料。"
q13,train,data_privacy,"使用在线 AI 工具时为什么要注意隐私保护？","不要随手把身份证、病历、账号密码、未公开代码这些内容发给在线 AI。平台怎么保存和处理数据，普通用户不一定清楚。能脱敏就先脱敏，只给必要信息。"
q14,train,algorithm,"为什么分类任务不能只看准确率？","如果数据很不平衡，准确率会骗人。比如一百个样本里九十五个正常，模型全猜正常也有 95% 准确率，但它完全没抓到异常。所以还要看召回率、精确率和 F1。"
q15,train,aigc_detection,"AI 文本被改写后，为什么检测会变难？","检测器常常会抓一些写作痕迹，比如句子太工整、连接词太多、表达很模板。改写会把这些痕迹冲淡，让文本更像普通人写的，所以检测会更不稳定。"
q16,train,ai_security,"什么是大模型安全测评？","我的理解是，大模型安全测评就是系统地测试模型在不同场景下会不会输出危险、错误、越权或不可靠内容。它不只看回答好不好，还要看边界、稳定性和风险控制。"
q17,train,aigc_detection,"如何判断一篇文章可能是 AI 生成的？","可以看表达是否过于均匀、结构是否特别模板化、观点是否缺少具体经历和细节。但这些都只能当线索，因为人也可能写得很模板，AI 也可以被改得很自然。"
q18,train,large_model,"为什么提示词会影响大模型输出质量？","提示词相当于给模型划定任务、语气和输出范围。如果问题太模糊，模型就容易按泛泛的方式回答。把背景、目标和限制说清楚，通常能得到更接近需求的结果。"
q19,train,programming,"Python 适合做 AI 实验的原因是什么？","Python 语法比较直接，数据处理、画图和机器学习库也多。做实验时经常要快速试想法、读数据、改参数，用 Python 会比较省时间。"
q20,train,research_training,"为什么科研实验需要记录失败结果？","失败结果能说明哪些方法不行，也能避免之后重复踩坑。很多时候问题不是最后一个指标，而是中间为什么失败、怎么调整。记录清楚了，后面复盘和汇报都会容易很多。"
q21,train,data_privacy,"医疗数据为什么比普通数据更敏感？","医疗数据往往包含病史、检查结果和身份信息，一旦泄露会影响个人隐私，甚至带来歧视和诈骗风险。所以医疗 AI 使用数据时更需要脱敏、授权和安全管理。"
q22,train,computer_network,"DNS 出问题时会出现什么现象？","常见情况是网络看起来连着，但网页打不开，或者域名访问失败，直接访问 IP 可能还能通。排查时可以换 DNS、清缓存，或者用 nslookup 看域名解析结果。"
q23,train,software_project,"为什么项目 README 很重要？","README 是别人理解项目的入口。代码写得再多，如果没有说明怎么运行、做了什么、结果在哪里，别人就很难复现。对科研 demo 来说，README 也能体现思路是否清楚。"
q24,train,ai_security,"什么是对抗样本或对抗攻击？","对抗攻击就是对输入做一些看似不大的修改，让模型判断出错。放在文本检测里，可能就是改写、换词、调整句式，让原来能识别 AI 文本的检测器失效。"
q25,eval,software_project,"做一个后端项目时，为什么要区分业务逻辑和数据访问？","如果业务代码和数据库操作混在一起，项目小的时候还能忍，功能一多就很难改。把业务逻辑和数据访问分开，后面换表结构、改接口或加测试都会更清楚。"
q26,eval,large_model,"大模型幻觉会给医疗问答带来什么风险？","医疗场景里，错误答案可能让用户误判病情或延误就医。大模型如果编出不存在的药物建议、检查结论或诊断方向，风险会比普通聊天更高，所以必须保留人工和专业边界。"
q27,eval,data_privacy,"为什么不能把未公开代码直接发给在线 AI 分析？","未公开代码可能包含学校项目、公司业务逻辑、密钥路径或安全漏洞。发到在线平台后，数据怎么存储不一定可控。比较稳的做法是删掉敏感信息，或者只贴最小可复现片段。"
q28,eval,aigc_detection,"AI 文本检测为什么容易出现误判？","因为写作风格不是绝对证据。有些人写东西本来就很工整，可能被误判成 AI；有些 AI 文本被改写后又像人写的。所以检测结果要结合场景和人工判断。"
q29,eval,research_training,"读论文时应该先看哪些部分？","我一般会先看标题、摘要、引言和结论，弄清楚问题和贡献，再看方法和实验。第一次读不一定要抠公式，先判断这篇文章解决了什么问题，和自己的方向有什么关系。"
q30,eval,network_engineering,"TCP 和 UDP 的区别应该怎么理解？","TCP 更像可靠通道，会建立连接、确认传输和重传，适合文件、网页这类不能乱的场景。UDP 更轻，不保证每个包都到，适合直播、游戏这种更看重实时性的场景。"
q31,eval,programming,"为什么写代码时要处理异常情况？","真实输入不会总是按预期来。用户可能传空值，网络可能断，文件可能不存在。如果不处理异常，程序可能直接崩掉，而且排查起来很麻烦。"
q32,eval,ai_security,"为什么大模型输出需要安全边界？","大模型可能被诱导回答危险问题，也可能在不确定时给出很肯定的建议。设置安全边界，是为了让它在医疗、隐私、违法操作等场景里不要越界输出。"
q33,eval,health_consulting,"网上健康建议应该怎样判断可靠性？","我会看来源是不是正规机构，内容有没有夸大效果，有没有让人自行用药或停止治疗。网上建议最多当参考，真正不舒服还是要找医生，尤其是症状持续或加重时。"
q34,eval,algorithm,"为什么训练集效果好不代表模型真的好？","模型可能只是记住了训练集里的规律，换一批数据就不行。真正要看泛化能力，就要在没见过的测试集上评估，还要看不同场景下是否稳定。"
q35,eval,large_model,"为什么同一个问题问大模型两次可能得到不同答案？","大模型生成时通常带有一定随机性，不是每次都固定输出同一句话。温度参数、上下文和提示方式都会影响结果，所以同一个问题多问几次可能会有差别。"
q36,eval,aigc_detection,"如果要改进 AI 文本检测，你会从哪些方向入手？","我会先扩大数据，加入不同模型和不同领域，再加入改写、润色这类攻击场景。模型上可以从传统特征 baseline 做到预训练模型，最后重点看跨模型和改写后的鲁棒性。"
