model,test_set,sample_id,question_id,domain,variant,pair_variant,label,prediction,ai_probability,question,text_preview
hc3_char_tfidf_logreg,hc3_chatgpt,hc3_nlpcc_dbqa_0091_chatgpt_hc3__pair_chatgpt_hc3,hc3_nlpcc_dbqa_0091,nlpcc_dbqa,chatgpt_hc3,chatgpt_hc3,1,0,0.2675,日本国铁201系电力动车组什么时候退役的？,日本国铁（日本国有铁道公司）的201系电力动车组于2005年开始投入使用，是日本国铁用来运营中速列车的一种电力动车组。在近几年，日本国铁已经逐步淘汰了201系电力动车组，并开始使用新型电力动车组。根据日本国铁的计划，201系电力动车组将在2022年前后完全退役。
hc3_char_tfidf_logreg,hc3_chatgpt,hc3_nlpcc_dbqa_0090_chatgpt_hc3__pair_chatgpt_hc3,hc3_nlpcc_dbqa_0090,nlpcc_dbqa,chatgpt_hc3,chatgpt_hc3,1,0,0.3333,湖北中医药大学是由哪个学校演变来的？,湖北中医药大学是由湖北中医学院演变而来的。湖北中医学院是我国较早成立的中医学院之一，始建于1957年。后来，湖北中医学院经过不断发展和壮大，于2005年更名为湖北中医药大学。现在，湖北中医药大学是一所以中医药为主，综合性大学，其中医药、基础医学、药学、中西医结合、中药资源开发等学科均具有较强的实力，在中医药领域具有很高的学术地位和影响力。
hc3_char_tfidf_logreg,hc3_chatgpt,hc3_finance_0092_chatgpt_hc3__pair_chatgpt_hc3,hc3_finance_0092,finance,chatgpt_hc3,chatgpt_hc3,1,0,0.3568,崇左公积金能在南*查询打印吗,崇左公积金中心可以在南宁办理打印业务。如果你在崇左市境内，建议你前往崇左公积金中心进行打印业务办理。如果你在崇左市境外，建议你联系当地的公积金管理中心或者通过公积金网上服务平台进行打印业务办理。注意：公积金中心的办理时间通常是周一至周五上午8:30至下午5:00，周六上午8:30至下午12:00，周日及法定节假日休息。在办理业务时，建议提前咨询办理时间，并准
hc3_char_tfidf_logreg,hc3_chatgpt,hc3_law_0086_human_hc3__pair_chatgpt_hc3,hc3_law_0086,law,human_hc3,chatgpt_hc3,0,1,0.4413,个人与个人之间签署的网络小说版权转让协议有法律效应吗？,——至于不违反法律的规定，双方意思一致自愿签署的，具有法律效力。
hc3_char_tfidf_logreg,hc3_chatgpt,hc3_psychology_0089_human_hc3__pair_chatgpt_hc3,hc3_psychology_0089,psychology,human_hc3,chatgpt_hc3,0,1,0.4924,男友有角色扮演乱伦的性癖好，怕他越来越严重怎么办？,他爱你，就应该尊重你的感受，避免出现让你不愉快的言行举止，接受他可能不喜欢的部分。你爱他，同样如此。关键是你们在这点上能否达到平衡和谐。
hc3_char_tfidf_logreg,deepseek_original,hc3_finance_0087_deepseek_original__pair_deepseek_original,hc3_finance_0087,finance,deepseek_original,deepseek_original,1,0,0.1088,从步*街坐几路公交车可以到龙岗区百鸽路口招商银*,从步*街乘坐M267路公交车，在百鸽笼站下车，步行约200米即可到达龙岗区百鸽路口招商银行。该线路运营时间为06:00-22:00，发车间隔约10分钟。
hc3_char_tfidf_logreg,deepseek_original,hc3_nlpcc_dbqa_0091_deepseek_original__pair_deepseek_original,hc3_nlpcc_dbqa_0091,nlpcc_dbqa,deepseek_original,deepseek_original,1,0,0.1132,日本国铁201系电力动车组什么时候退役的？,日本国铁201系电力动车组于2011年3月正式退役，该车型自1979年开始运营，主要用于通勤线路。
hc3_char_tfidf_logreg,deepseek_original,hc3_nlpcc_dbqa_0087_deepseek_original__pair_deepseek_original,hc3_nlpcc_dbqa_0087,nlpcc_dbqa,deepseek_original,deepseek_original,1,0,0.1804,山梨英和短期大学在哪一年建立？,山梨英和短期大学是日本山梨县的一所私立短期大学，成立于1967年。该校前身是山梨英和女子短期大学，后于2001年更名为山梨英和短期大学，提供多个专业领域的教育。
hc3_char_tfidf_logreg,deepseek_original,hc3_nlpcc_dbqa_0090_deepseek_original__pair_deepseek_original,hc3_nlpcc_dbqa_0090,nlpcc_dbqa,deepseek_original,deepseek_original,1,0,0.1844,湖北中医药大学是由哪个学校演变来的？,湖北中医药大学的前身是成立于1954年的湖北省中医进修学校，后历经湖北省中医学院、湖北中医学院等阶段，于2010年更名为湖北中医药大学。
hc3_char_tfidf_logreg,deepseek_original,hc3_open_qa_0088_deepseek_original__pair_deepseek_original,hc3_open_qa_0088,open_qa,deepseek_original,deepseek_original,1,0,0.2132,最近我每天晚上吃一个不知会长胖吗 吃玉米长胖吗最近我每天晚上吃一个玉米不知会长胖吗,每天晚上吃一个玉米一般不会导致发胖，因为玉米属于粗粮，富含膳食纤维，热量相对较低，且能增加饱腹感。但需注意整体饮食平衡，避免摄入过多高热量食物。
hc3_char_tfidf_logreg,deepseek_original,hc3_psychology_0085_deepseek_original__pair_deepseek_original,hc3_psychology_0085,psychology,deepseek_original,deepseek_original,1,0,0.2401,高中生见识到上流社会后，心理强烈失衡怎么办？,高中生见识到上流社会后心理失衡是正常现象，建议通过认知重构理解社会多样性，将差距转化为学习动力，同时关注自身成长节奏，避免过度比较。
