model,test_set,sample_id,domain,variant,label,prediction,ai_probability,text_preview
hc3_char_tfidf_logreg,hc3_in_domain,hc3_nlpcc_dbqa_0091_chatgpt,nlpcc_dbqa,chatgpt_hc3,1,0,0.1897,日本国铁（日本国有铁道公司）的201系电力动车组于2005年开始投入使用，是日本国铁用来运营中速列车的一种电力动车组。在近几年，日本国铁已经逐步淘汰了201系电力动车组，并开始使用新型电力动车组。根据日本国铁的计划，201系电力动车组将在2022年前后完全退役。
hc3_char_tfidf_logreg,hc3_in_domain,hc3_finance_0092_chatgpt,finance,chatgpt_hc3,1,0,0.1970,崇左公积金中心可以在南宁办理打印业务。如果你在崇左市境内，建议你前往崇左公积金中心进行打印业务办理。如果你在崇左市境外，建议你联系当地的公积金管理中心或者通过公积金网上服务平台进行打印业务办理。注意：公积金中心的办理时间通常是周一至周五上午8:30至下午5:00，周六上午8:30至下午12:00，周日及法定节假日休息。
hc3_char_tfidf_logreg,hc3_in_domain,hc3_nlpcc_dbqa_0090_chatgpt,nlpcc_dbqa,chatgpt_hc3,1,0,0.2612,湖北中医药大学是由湖北中医学院演变而来的。湖北中医学院是我国较早成立的中医学院之一，始建于1957年。后来，湖北中医学院经过不断发展和壮大，于2005年更名为湖北中医药大学。现在，湖北中医药大学是一所以中医药为主，综合性大学，其中医药、基础医学、药学、中西医结合、中药资源开发等学科均具有较强的实力，在中医药领域具有很高
hc3_char_tfidf_logreg,hc3_in_domain,hc3_open_qa_0085_chatgpt,open_qa,chatgpt_hc3,1,0,0.2849,《渴望生活》是由约翰·康纳写的一本关于荷兰画家梵高的传记。在这本书中，康纳描述了梵高对生活的热爱和对艺术的渴望。梵高被描述为一个富有创造力和激情的艺术家，他渴望通过他的艺术来表达自己的想法和感受。 在《渴望生活》中，康纳还描述了梵高的生活和工作中所体现出的勤奋和毅力。梵高热爱生活，并且希望能够通过自己的艺术作品来表达这
hc3_char_tfidf_logreg,hc3_in_domain,hc3_law_0096_human,law,human_hc3,0,1,0.3516,遗嘱是对自己生前所有的财产所作处分的意思表示于自己死后发生效力的意思表示，遗嘱自由是受法律保护的，但是遗嘱必须为无生活来源且无独立生活能力的人留足相应的份额。子女对父母具有赡养义务，这是一项法定义务，不因父母的遗嘱情况而改变。
hc3_char_tfidf_logreg,deepseek_original,q28_deepseek_original,aigc_detection,deepseek_original,1,0,0.1527,AI文本检测容易出现误判，首先因为检测模型依赖统计特征，可能将人类复杂表达误判为AI生成。其次，AI文本风格日益多样化，与人类写作界限模糊。因此，检测模型需持续更新，建议结合多种特征提高准确性。
hc3_char_tfidf_logreg,deepseek_original,q29_deepseek_original,research_training,deepseek_original,1,0,0.1641,在读论文时，建议优先阅读摘要和引言部分，以快速了解研究背景、问题和主要贡献。其次，浏览结论和图表，掌握核心发现。最后，根据需求深入方法或实验部分。这样能高效把握论文重点。
hc3_char_tfidf_logreg,deepseek_original,q32_deepseek_original,ai_security,deepseek_original,1,0,0.2182,大模型输出需要安全边界，首先是因为模型可能生成有害内容，如暴力、歧视或虚假信息，对社会造成负面影响。其次，安全边界能防止模型被恶意利用，比如生成钓鱼邮件或诈骗文本。因此，设定安全边界是负责任AI发展的必要措施，建议在模型训练和部署时加入安全过滤机制。
hc3_char_tfidf_logreg,deepseek_original,q25_deepseek_original,software_project,deepseek_original,1,0,0.2302,区分业务逻辑和数据访问是为了实现关注点分离，提高代码的可维护性、可测试性和可扩展性。业务逻辑处理具体的规则和流程，数据访问负责与数据库交互。这样修改业务逻辑时无需改动数据层，反之亦然。建议采用分层架构，如三层架构或领域驱动设计。
hc3_char_tfidf_logreg,deepseek_original,q30_deepseek_original,network_engineering,deepseek_original,1,0,0.2395,TCP和UDP是两种传输层协议。首先，TCP面向连接，提供可靠传输，适合网页浏览等场景；而UDP无连接，速度快但不可靠，适合视频直播。其次，TCP有流量控制和拥塞控制，UDP则没有。因此，选择哪种协议取决于应用对可靠性和实时性的需求。建议根据实际场景选用。
hc3_char_tfidf_logreg,deepseek_original,q36_deepseek_original,aigc_detection,deepseek_original,1,0,0.2492,要改进AI文本检测，首先可以从数据层面入手，构建更丰富、更贴近真实场景的训练数据集，覆盖多种生成模型和改写策略。其次，可以探索更细粒度的特征提取方法，比如分析词汇分布、句法结构、语义连贯性等。此外，引入对抗训练和集成学习也能提升检测器的鲁棒性。因此，建议结合多模态特征和动态更新机制来增强检测效果。
hc3_char_tfidf_logreg,deepseek_original,q32_human_reference,ai_security,human_reference,0,1,0.3150,大模型可能被诱导回答危险问题，也可能在不确定时给出很肯定的建议。设置安全边界，是为了让它在医疗、隐私、违法操作等场景里不要越界输出。
hc3_char_tfidf_logreg,deepseek_casual_rewrite,q35_deepseek_casual_rewrite,large_model,deepseek_casual_rewrite,1,0,0.0458,同一个问题问大模型好几次，答案不一样其实挺正常的。因为它每次生成回复的时候都有点随机性，就像人说话有时也会换个说法。而且模型学了很多种表达方式，稍微调一下参数就可能给出不同结果。所以别太奇怪，多问几次说不定能得到更全面的看法。
hc3_char_tfidf_logreg,deepseek_casual_rewrite,q34_deepseek_casual_rewrite,algorithm,deepseek_casual_rewrite,1,0,0.0518,训练集效果好不能说明模型真的厉害，主要是怕过拟合。比如模型把训练数据里的噪声都记住了，但遇到新数据就蒙圈。另外，训练集和实际数据分布可能不一样，像考试题目换了就答不上来。所以最好用验证集或者交叉验证看看模型到底行不行。
hc3_char_tfidf_logreg,deepseek_casual_rewrite,q29_deepseek_casual_rewrite,research_training,deepseek_casual_rewrite,1,0,0.0554,读论文的话，我觉得先看摘要和引言挺重要的，能大概知道这篇在讲啥。然后翻翻结论和图表，心里有个数。后面再根据自己需要，仔细看看方法或者实验部分，这样比较省时间。
hc3_char_tfidf_logreg,deepseek_casual_rewrite,q25_deepseek_casual_rewrite,software_project,deepseek_casual_rewrite,1,0,0.0566,把业务逻辑和数据访问分开，主要是为了让代码更好维护。比如你改业务规则时不用动数据库操作，反过来也一样。而且测试起来也方便，可以单独测试业务代码，不用真的连数据库。我们项目一般用分层结构，各管各的。
hc3_char_tfidf_logreg,deepseek_casual_rewrite,q28_deepseek_casual_rewrite,aigc_detection,deepseek_casual_rewrite,1,0,0.0612,AI文本检测老是误判，主要是检测模型太依赖那些统计特征了，有时候人类写得复杂点就被当成AI写的。再加上现在AI生成的内容风格越来越多样，跟人类写的差别越来越小，所以容易搞混。
